archivo;titulo;actual;estado;nuevo_modulo;nuevo_submodulo;nuevo_subtopic;motivo
configuracion-y-cuenta/6-ajustes-automaticos.md;Ajustes automáticos;Configuración y cuenta > Equipo y centros;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador/1-general-perfil-del-trabajador
configuracion-y-cuenta/7-11-externos.md;Externos;Configuración y cuenta > Roles y permisos;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/externos [administrador/administrar/externos]
configuracion-y-cuenta/7-control-legal.md;Control legal;Configuración y cuenta > Roles y permisos;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario
configuracion-y-cuenta/a-configuracion.md;Configuración;Configuración y cuenta > Equipo y centros;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/configuracion [administrador/administrar/importar-exportar/configuracion]
configuracion-y-cuenta/ajustes.md;Ajustes en aTurnos;Configuración y cuenta > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/10-timecard
configuracion-y-cuenta/b-datos-del-equipo.md;Datos del equipo;Configuración y cuenta > Roles y permisos;MAPEADO;Configuración de Equipos;Datos del equipo;;administrador/administrar/ajustes/datos-del-equipo
configuracion-y-cuenta/como-puedo-activar-desactivar-las-notificaciones-de-la-app.md;¿Cómo puedo activar/desactivar las notificaciones de la APP?;Configuración y cuenta > Roles y permisos;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/preguntas-frecuentes]
configuracion-y-cuenta/como-puedo-cambiar-la-contrasena-desde-la-app.md;¿Cómo puedo cambiar la contraseña desde la APP?;Configuración y cuenta > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/preguntas-frecuentes]
configuracion-y-cuenta/como-recuperar-contrasena-desde-la-app-de-aturnos.md;¿Cómo recuperar contraseña desde la APP de aTurnos?;Configuración y cuenta > Turnos y patrones;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/preguntas-frecuentes]
configuracion-y-cuenta/d-cambios.md;Cambios en aTurnos;Configuración y cuenta > Roles y permisos;MAPEADO;Configuración de Equipos;Cambios;;administrador/administrar/ajustes/cambios
configuracion-y-cuenta/g-acciones-automaticas.md;Acciones Automáticas;Configuración y cuenta > Roles y permisos;MAPEADO;Configuración de Equipos;Acciones automáticas;;administrador/administrar/ajustes/acciones-automaticas
configuracion-y-cuenta/i-jornadas-ii.md;Jornadas II;Configuración y cuenta > General;MAPEADO;Reportes estadísticos;Por defecto;;administrador/estadisticas/estadisticas-por-defecto
configuracion-y-cuenta/i-pantalla-de-inicio.md;Pantalla de inicio;Configuración y cuenta > Roles y permisos;MAPEADO;Configuración de Equipos;Inicio;;administrador/administrar/ajustes/pantalla-de-inicio
configuracion-y-cuenta/por-que-no-puedo-ver-el-saldo-de-horas.md;¿Por qué no puedo ver el saldo de horas?;Configuración y cuenta > Roles y permisos;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/preguntas-frecuentes]
control-horario/1-1-filtros-de-fichajes.md;Filtros de fichajes;Control horario > Vacaciones y ausencias;MAPEADO;Control horario;Diario;;control-horario/control-de-presencia-administrador/diario-administrador
control-horario/1-2-detalle-de-los-fichajes.md;Detalle de los fichajes;Control horario > Vacaciones y ausencias;MAPEADO;Control horario;Diario;;control-horario/control-de-presencia-administrador/diario-administrador
control-horario/1-4-anadir-insertar-modificar-y-cerrar-fichajes.md;Añadir, insertar, modificar y cerrar fichajes;Control horario > Fichajes;MAPEADO;Control horario;Diario;;control-horario/control-de-presencia-administrador/diario-administrador
control-horario/1-5-estado-y-ajustar-fichajes.md;Estado y ajustar fichajes;Control horario > Vacaciones y ausencias;MAPEADO;Control horario;Diario;;control-horario/control-de-presencia-administrador/diario-administrador
control-horario/1-como-fichar.md;Cómo fichar;Control horario > General;SUBNIVEL PENDIENTE;Control horario;Pendiente de revisión;;control-horario/control-de-presencia-trabajador/como-fichar-trabajador
control-horario/1-detalle.md;Detalle en aTurnos;Control horario > Fichajes;SUBNIVEL PENDIENTE;Control horario;Pendiente de revisión;;control-horario/control-de-presencia-administrador
control-horario/10-sobre-el-modulo-de-control-horario.md;Sobre el módulo de Control Horario;Control horario > Vacaciones y ausencias;MAPEADO;Planificación;Restricciones;;administrador/planificador/restricciones
control-horario/15-origen-de-los-fichajes.md;Origen de los fichajes;Control horario > Fichajes;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
control-horario/2-1-listado-de-fichajes.md;Listado de fichajes;Control horario > Vacaciones y ausencias;MAPEADO;Control horario;Detalle del control horario;;control-horario/control-de-presencia-administrador/detalle-por-trabajador-administrador
control-horario/2-2-informe.md;Informe en aTurnos;Control horario > Fichajes;MAPEADO;Control horario;Detalle del control horario;;control-horario/control-de-presencia-administrador/detalle-por-trabajador-administrador
control-horario/2-menos-de-12-hrs-entre-fichajes.md;Menos de 12 hrs entre fichajes;Control horario > Altas y bajas;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
control-horario/21-importar-fichajes-de-trabajadores.md;Importar fichajes de trabajadores;Control horario > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
control-horario/3-1-fichajes-pendientes.md;Fichajes pendientes;Control horario > Fichajes;MAPEADO;Control horario;Petición de fichajes;Peticiones de fichaje pendiente;control-horario/control-de-presencia-administrador/peticiones-de-fichajes-administrador
control-horario/3-mas-de-2-hrs-entre-fichajes.md;Más de 2 Hrs entre fichajes;Control horario > Altas y bajas;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
control-horario/4-2-horas-presenciales.md;Horas presenciales;Control horario > Fichajes;MAPEADO;Control horario;Informes del control horario;;control-horario/control-de-presencia-administrador/estadisticas-control-de-presencia
control-horario/4-4-resumen-diario.md;Resumen diario;Control horario > Fichajes;MAPEADO;Control horario;Informes del control horario;;control-horario/control-de-presencia-administrador/estadisticas-control-de-presencia
control-horario/4-6-listado-de-fichajes.md;Listado de fichajes;Control horario > Fichajes;MAPEADO;Control horario;Informes del control horario;;control-horario/control-de-presencia-administrador/estadisticas-control-de-presencia
control-horario/4-7-calidad-del-fichaje.md;Calidad del fichaje;Control horario > Fichajes;MAPEADO;Control horario;Informes del control horario;;control-horario/control-de-presencia-administrador/estadisticas-control-de-presencia
control-horario/4-mis-fichajes.md;Mis fichajes;Control horario > Altas y bajas;SUBNIVEL PENDIENTE;Control horario;Pendiente de revisión;;control-horario/control-de-presencia-trabajador/mis-fichajes-trabajador
control-horario/5-1-ajustes-del-control-horario.md;Ajustes del control horario;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-11-tipos-de-fichajes.md;Tipos de fichajes;Control horario > Altas y bajas;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-13-geolocalizacion.md;Geolocalización;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-15-sistemas-biometricos.md;Sistemas biométricos;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-16-teletrabajo-sin-control-web-ip.md;Teletrabajo (Sin control Web/IP);Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-17-flexibilidad-de-fichajes.md;Flexibilidad de fichajes;Control horario > Altas y bajas;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-18-integracion-control-de-presencia.md;Integración Control de Presencia;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-2-tolerancia.md;Tolerancia;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-5-privacidad.md;Privacidad;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-6-notificaciones.md;Notificaciones;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-9-fichaje-por-ip.md;Fichaje por IP;Control horario > Fichajes;MAPEADO;Control horario;Configuración del control horario;;control-horario/control-de-presencia-administrador/configuracion-control-de-presencia
control-horario/5-mas-de-5-hrs-fichadas-sin-descanso.md;Más de 5 Hrs fichadas sin descanso;Control horario > Vacaciones y ausencias;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
control-horario/5-peticiones-de-fichajes.md;Peticiones de fichajes;Control horario > Fichajes;MAPEADO;Control horario;Petición de fichajes;;control-horario/control-de-presencia-trabajador/trabajador-peticiones-de-fichaje
control-horario/6-listado-peticiones-de-fichajes.md;Listado peticiones de fichajes;Control horario > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/6-listado-de-peticiones-de-fichajes-pendientes
control-horario/6-trabajadores-sin-descanso-realizado.md;Trabajadores sin descanso realizado;Control horario > Vacaciones y ausencias;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
control-horario/7-listado-de-fichajes.md;Listado de fichajes;Control horario > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/7-listado-de-fichajes-rrhh
control-horario/8-control-de-fichajes.md;Control de fichajes;Control horario > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/8-control-de-fichajes-rrhh
control-horario/8-control-horario.md;Control Horario;Control horario > Fichajes;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador
control-horario/aceptar-peticiones-de-marcajes.md;Aceptar peticiones de marcajes;Control horario > Fichajes;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/administrador-app]
control-horario/conceptos-tipo-10-conceptos-asociados-al-control-de-presencia.md;Conceptos tipo 10: Conceptos asociados al control de presencia;Control horario > Fichajes;MAPEADO;Nóminas;Conceptos de nóminas;;administrador/administrar/exportacion-nominas/conceptos-de-nomina/conceptos-comunes-de-nomina
control-horario/control-horario-app.md;Control Horario (APP);Control horario > Fichajes;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/1-control-de-presencia-app]
control-horario/por-que-no-puedo-fichar-desde-la-app.md;¿Por qué no puedo fichar desde la APP?;Control horario > Vacaciones y ausencias;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/preguntas-frecuentes]
control-horario/prueba-subtopic-aprobar-vacaciones.md;Aprobar o rechazar solicitudes de vacaciones;Control horario > Vacaciones y ausencias > Solicitud de vacaciones;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
control-horario/prueba-subtopic-solicitar-vacaciones.md;Cómo solicitar vacaciones desde el calendario;Control horario > Vacaciones y ausencias > Solicitud de vacaciones;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
control-horario/que-valor-indica-y-para-que-sirve-el-status-presencia-horas-contrato.md;Que valor indica y para que sirve el status presencia horas contrato;Control horario > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
costes-y-nominas/1-1-modo-de-validacion-para-la-exportacion.md;Modo de validación para la exportación;Costes y nóminas > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/1-configuracion-general-exportacion-nominas
costes-y-nominas/1-2-descarga-de-nomina.md;Descarga de nómina;Costes y nóminas > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/1-configuracion-general-exportacion-nominas
costes-y-nominas/1-3-comportamiento-de-aviso-de-cuadrante-cerrado-por-nomina.md;Comportamiento de aviso de cuadrante cerrado por nómina;Costes y nóminas > Vacaciones y ausencias;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/1-configuracion-general-exportacion-nominas
costes-y-nominas/1-8-festivos.md;Festivos;Costes y nóminas > Nóminas;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/1-configuracion-general-exportacion-nominas
costes-y-nominas/10-1-listado-de-conceptos-de-calculo-y-de-nomina-borrado-de-conceptos-de-calculo-de-nomina.md;Listado de conceptos de cálculo y de nómina. Borrado de conceptos de cálculo de nómina;Costes y nóminas > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/10-funciones-de-rrhh
costes-y-nominas/10-4-exportar-a-nominas.md;Exportar a nóminas;Costes y nóminas > Cuadrante;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/10-funciones-de-rrhh
costes-y-nominas/10-5-estadistica-todos-los-equipos.md;Estadística todos los equipos;Costes y nóminas > Roles y permisos;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/10-funciones-de-rrhh
costes-y-nominas/10-costes.md;Costes en aTurnos;Costes y nóminas > Usuarios y perfiles;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador
costes-y-nominas/12-importar-costes.md;Importar costes;Costes y nóminas > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
costes-y-nominas/2-1-conceptos-comunes-de-nomina.md;Conceptos comunes de nómina;Costes y nóminas > Nóminas;MAPEADO;Nóminas;Conceptos de nóminas;;administrador/administrar/exportacion-nominas/conceptos-de-nomina
costes-y-nominas/2-conceptos-de-calculo.md;Conceptos de cálculo;Costes y nóminas > General;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;nominas/administradorrrhh
costes-y-nominas/3-1-conceptos-en-nomina.md;Conceptos en nómina;Costes y nóminas > Nóminas;MAPEADO;Nóminas;Conceptos de nóminas;;administrador/administrar/exportacion-nominas/conceptos-en-nomina
costes-y-nominas/3-conceptos-de-nomina.md;Conceptos de nómina;Costes y nóminas > Nóminas;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;nominas/administradorrrhh
costes-y-nominas/4-1-plantilla-de-nomina.md;Plantilla de nómina;Costes y nóminas > General;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;administrador/administrar/exportacion-nominas/plantilla-de-nomina
costes-y-nominas/4-exportacion-a-nominas.md;Exportación a nóminas;Costes y nóminas > Usuarios y perfiles;MAPEADO;Configuración de Equipos;General;;administrador/administrar/ajustes/configuracion-general
costes-y-nominas/4-plantilla-de-nomina.md;Plantilla de nómina;Costes y nóminas > Nóminas;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;nominas/administradorrrhh
costes-y-nominas/5-1-exportar-nominas.md;Exportar nóminas;Costes y nóminas > Usuarios y perfiles;MAPEADO;Nóminas;Exportar nóminas;;administrador/administrar/exportacion-nominas/exportar-nominas
costes-y-nominas/6-1-estadistica-por-periodo.md;Estadística por periodo;Costes y nóminas > Usuarios y perfiles;MAPEADO;Nóminas;Estadísticas por periodos de varios equipos;;administrador/administrar/exportacion-nominas/estadisticas-exportacion-nominas
costes-y-nominas/6-1-listado-de-conceptos-de-nomina.md;Listado de conceptos de nómina;Costes y nóminas > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;rrhh/nominas-rrhh
costes-y-nominas/6-4-exportar-nominas.md;Exportar nóminas;Costes y nóminas > Usuarios y perfiles;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;rrhh/nominas-rrhh
costes-y-nominas/7-nominas.md;Nóminas en aTurnos;Costes y nóminas > Usuarios y perfiles;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador
costes-y-nominas/9-1-integracion-nominas.md;Integración nóminas;Costes y nóminas > Usuarios y perfiles;MAPEADO;Integración y API;API;;administrador/administrar/exportacion-nominas/9-integracion-api
costes-y-nominas/borrar-concpetos-en-nominas.md;Borrar conceptos en nominas;Costes y nóminas > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
costes-y-nominas/costes-categoria.md;Costes/Categoría;Costes y nóminas > Vacaciones y ausencias;SIN MAPEAR;Pendiente de revisión;;;Módulo de Costes: no está en tu mapa [costes/a-configuracion-de-variables]
costes-y-nominas/costes-detalle.md;Costes Detalle;Costes y nóminas > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Módulo de Costes: no está en tu mapa [costes/2-estadisticas]
costes-y-nominas/costes-por-categoria.md;Costes por Categoría;Costes y nóminas > General;SIN MAPEAR;Pendiente de revisión;;;Módulo de Costes: no está en tu mapa [costes/2-estadisticas]
costes-y-nominas/costes-por-hora-general-equipo.md;Costes por hora general (equipo);Costes y nóminas > Nóminas;SIN MAPEAR;Pendiente de revisión;;;Módulo de Costes: no está en tu mapa [costes/a-configuracion-de-variables]
costes-y-nominas/costes-por-localizacion.md;Costes por localización;Costes y nóminas > General;SIN MAPEAR;Pendiente de revisión;;;Módulo de Costes: no está en tu mapa [costes/2-estadisticas]
costes-y-nominas/costes-por-turno.md;Costes por turno;Costes y nóminas > Vacaciones y ausencias;SIN MAPEAR;Pendiente de revisión;;;Módulo de Costes: no está en tu mapa [costes/a-configuracion-de-variables]
costes-y-nominas/costes-por-usuario.md;Costes por usuario;Costes y nóminas > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Módulo de Costes: no está en tu mapa [costes/a-configuracion-de-variables]
costes-y-nominas/guia-exportacion-nominas.md;Guía exportación nóminas;Costes y nóminas > Nóminas;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
documentos/1-crear-tipo-de-documento.md;Crear tipo de documento;Documentos > Roles y permisos;MAPEADO;Documentos;Tipos de documentos;;modulo-de-documentos/administrador-documentos
documentos/1-subir-documentos.md;Subir documentos;Documentos > Altas y bajas;MAPEADO;Documentos;Subir documentos;;modulo-de-documentos/trabajador-documentos
documentos/2-subir-documentos.md;Subir documentos;Documentos > Usuarios y perfiles;MAPEADO;Documentos;Subir documentos;;modulo-de-documentos/administrador-documentos
documentos/2-ver-documentos-subidos.md;Ver documentos subidos;Documentos > Altas y bajas;MAPEADO;Documentos;Documentos;;modulo-de-documentos/trabajador-documentos
documentos/22-importar-acumulado-ano-anterior-timecard.md;Importar acumulado año anterior (Timecard);Documentos > General;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
documentos/3-ver-documentos-subidos.md;Ver documentos subidos;Documentos > General;MAPEADO;Documentos;Documentos;;modulo-de-documentos/administrador-documentos
documentos/9-importar-tabla-de-coeficiente.md;Importar tabla de coeficiente;Documentos > General;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/administrar/importar-exportar/importar [administrador/administrar/importar-exportar/importar]
documentos/documentos.md;Documentos;Documentos > Altas y bajas;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/trabajador-app/6-documentos]
documentos/e-mostrar-ocultar-y-acciones.md;Mostrar/Ocultar y Acciones;Documentos > General;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/mostrar-ocultar-y-acciones
documentos/subir-y-descargar-documentos.md;Subir y descargar documentos;Documentos > Altas y bajas;SIN MAPEAR;Pendiente de revisión;;;Ya está en App móvil (posible duplicado) [app/administrador-app]
general/1-general.md;General en aTurnos;General > General;MAPEADO;Trabajadores;Listado;;administrador/trabajadores/listado-de-trabajadores/editar-perfil-de-trabajador
general/11-8-hrs-fichadas-en-nocturnidad.md;→ 8 Hrs fichadas en nocturnidad;General > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
general/12-horas-fichadas-semanales.md;Horas fichadas semanales;General > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
general/16-fines-de-semana-fichados.md;Fines de semana fichados;General > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
general/17-copiar-dia.md;Copiar día;General > General;MAPEADO;Planificación;Cuadrantes;Cuadrante;administrador/cuadrante/cuadrante-cuadrante/menu-de-la-operativa-de-turno
general/5-estadisticas.md;Estadísticas;General > General;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;nominas/administradorrrhh
general/6-3-cargar-reportes.md;Cargar reportes;General > General;MAPEADO;Reportes estadísticos;Por defecto;;administrador/estadisticas
general/6-ejemplos.md;Ejemplos;General > General;SUBNIVEL PENDIENTE;Nóminas;Pendiente de revisión;;nominas/administradorrrhh
general/8-mas-de-6-dias-seguidos-fichados.md;Más de 6 días seguidos fichados;General > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
general/9-mas-de-6-dias-seguidos-planificados.md;Más de 6 días seguidos planificados;General > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/9-control-legal
general/guide-tui.md;Guide TUI;General > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
general/hacer-cambio.md;Hacer cambio;General > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
general/introduccion-2.md;Introduccion 2;General > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
general/introduccion.md;Introduccion;General > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
general/no-hay-aviso-sonoro.md;No hay aviso sonoro;General > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
general/preguntas-frecuentes-mediamarkt.md;Preguntas frecuentes mediamarkt;General > General;SIN MAPEAR;Pendiente de revisión;;;Sin categoría legacy (guía editorial, prueba o sin origen conocido)
general/timecard-totalizado.md;Timecard Totalizado;General > General;MAPEADO;Gestión de RR.HH.;Control horario de equipos;;control-horario/rrhh-control-horario/10-timecard
gestion-de-personal/1-1-maestro-de-empleados.md;Maestro de empleados;Gestión de personal > Usuarios y perfiles;MAPEADO;Gestión de RR.HH.;Gestión de personal (Maestro de empleado);;rrhh/rrhh-estructura
gestion-de-personal/1-1-perfil-y-menu-principal-del-trabajador.md;Perfil y Menú principal del Trabajador;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: trabajador/1-inicio [trabajador/1-inicio]
gestion-de-personal/1-2-barra-superior-de-la-pantalla.md;Barra superior de la pantalla;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: administrador/inicio [administrador/inicio]
gestion-de-personal/1-2-barra-superior-de-pantalla.md;Barra superior de pantalla;Gestión de personal > Usuarios y perfiles;SIN MAPEAR;Pendiente de revisión;;;Categoría legacy sin regla: trabajador/1-inicio [trabajador/1-inicio]
gestion-de-personal/1-2-estructura-jerarquica.md;Estructura jerárquica;Gestión de personal > Altas y bajas;MAPEADO;Gestión de RR.HH.;Gestión de personal (Maestro de empleado);;rrhh/rrhh-estructura/rrhh-estructura-jerarquica
